shop_name,shop_id,item_name,item_id,item_category,item_brand,item_ksp,item_desc
跑者之家,S002,跑步袜（压缩护足 3双）,20006,运动配件,Stance,产品特性:足弓压缩支撑；用户收益:减少起泡与疲劳；使用场景:长跑/训练；品质保障:加厚脚跟,专为跑步设计的压缩袜，透气吸汗、减摩擦，加厚部位减少起泡，三双装适合训练消耗。
跑者之家,S002,心率表 GPS 运动手表（入门款）,20007,运动配件,Garmin,产品特性:GPS 轨迹+光学心率；用户收益:记录训练数据；使用场景:跑步/骑行/户外；品质保障:防水与续航,可记录配速、心率区间、步频等基础训练数据，支持训练计划与智能提醒，适合初学者与中级跑者。
跑者之家,S002,跑步腰包（轻量）,20008,运动配件,Salomon,产品特性:防水拉链与反光条；用户收益:携带手机与补给；使用场景:长跑/夜跑；情绪价值:轻便利落,贴身稳固、不晃动，带反光条提高夜跑安全，内有多层收纳袋，适合越野或城市长跑。
跑者之家,S002,跑步手套（触屏+保暖）,20009,运动配件,Decathlon,产品特性:触屏指尖与保暖层；使用场景:冬季跑步；用户收益:保暖同时可操作手机；价格促销:单品折扣,轻薄保温材质，手指部可触控操作，适合冷天训练，紧密贴合不影响握力。
跑者之家,S002,反光跑步外套（轻量防风）,20010,运动配件,H&M Sport,产品特性:防风轻量面料；使用场景:夜跑/清晨；用户收益:挡风保暖且便于收纳；情绪价值:城市简约风,带反光细节提升夜间可见性，轻薄易折叠，适合早晚跑步与通勤穿着。
小馆咖啡器具,S003,家用半自动咖啡机（15巴）,30001,咖啡机,De'Longhi,产品特性:15 巴泵压；使用场景:家庭意式制作；用户收益:制作浓缩与牛奶咖啡；品质保障:可拆洗水箱与蒸汽棒；情绪价值:提升厨房质感,可做意式浓缩与打奶泡，操作面板简单，适合家庭咖啡爱好者，清洗部件易拆卸。
小馆咖啡器具,S003,全自动咖啡机（带磨豆）,30002,咖啡机,Philips,产品特性:一体化磨豆与冲煮；用户收益:一键取咖啡便捷；使用场景:早晨/办公室小型使用；品质保障:可拆式冲煮单元便于清洗,支持调节研磨粗细与咖啡浓度，一键制作美式/浓缩/卡布奇诺，适合想省时又想品质的用户。
小馆咖啡器具,S003,胶囊咖啡机（便捷型）,30003,咖啡机,Nespresso,产品特性:胶囊速溶；用户收益:方便快速出杯；使用场景:办公室/宿舍；情绪价值:多口味选择,使用胶囊制作稳定风味咖啡，清洁简单，适合对口味稳定性有需求且追求便捷的人群。
小馆咖啡器具,S003,手冲壶 V60 玻璃套装,30004,咖啡配件,Hario,产品特性:旋流滤杯设计；用户收益:便于风味把控；使用场景:手冲精品咖啡；情绪价值:手作仪式感,套装含滤杯、玻璃壶与滤纸，适合注重风味表达的冲煮爱好者，外观简洁适合拍照分享。
小馆咖啡器具,S003,电动磨豆机（可调粗细）,30005,咖啡配件,Baratza,产品特性:锥形磨芯低热量；产品特性:多档粗细调节；用户收益:为不同冲泡方式定制研磨,低速磨芯减少发热，保留豆香，粗细可调匹配意式/手冲/法压等，适合注重风味的用户。
小馆咖啡器具,S003,冷萃咖啡壶（大容量）,30006,咖啡配件,Fellow,产品特性:慢萃过滤系统；用户收益:低酸顺滑冷萃；使用场景:办公室/家庭冷饮,大容量设计适合办公室或聚会，滤网易拆洗，保鲜盖保持风味，冷萃口感低酸且顺滑。
小馆咖啡器具,S003,不锈钢摩卡壶（4杯）,30007,咖啡配件,Bialetti,产品特性:传统蒸汽萃取；用户收益:浓郁意式风味；使用场景:家庭与露营,适合喜欢传统浓缩风味的用户，适配燃气与电陶炉，清洗与保养简单。
小馆咖啡器具,S003,恒温电热手冲壶（注水细口）,30008,咖啡配件,Fellow,产品特性:精确恒温控制；用户收益:稳定萃取；使用场景:手冲/精品咖啡,便于控制注水速度与温度，提高手冲稳定性，适合注重风味一致性的冲煮者。
小馆咖啡器具,S003,咖啡秤（计时称重）,30009,咖啡配件,Acaia,产品特性:高精度称重+计时功能；用户收益:精确配方复现；使用场景:手冲/实验萃取,精准计时与称重，适合追求冲煮一致性的咖啡爱好者与小型咖啡馆。
小馆咖啡器具,S003,牛奶打泡壶（不锈钢）,30010,咖啡配件,De'Longhi,产品特性:优质不锈钢材质；使用场景:拉花/打奶泡；用户收益:做出丝滑奶泡,适合制作拿铁或卡布奇诺，壶身导热均匀，易清洗且耐用。
肌肤良方,S004,温和洁面乳（敏感肌适用）,40001,洁面/精华,Cetaphil,产品特性:弱酸性温和配方；用户收益:减少刺激与紧绷；使用场景:早晚洁面；品质保障:皮肤科推荐,泡沫细腻易冲洗，不含香精酒精，适合敏感/干燥肌人群，包装标注成分简单透明。
肌肤良方,S004,保湿玻尿酸精华（多分子）,40002,洁面/精华,Hada Labo,产品特性:多分子玻尿酸复配；用户收益:深层补水与锁水；使用场景:早晚打底；品质保障:温和配方,质地轻薄快速吸收，用于爽肤/精华层补水，适合各类肤质作为基础保湿产品。
肌肤良方,S004,维生素C 亮肤精华（稳定型）,40003,洁面/精华,The Ordinary,产品特性:稳定型维C 衍生物；用户收益:提亮肤色淡斑；使用场景:白天配合防晒或夜间使用；风险消除:建议与低刺激配方搭配,有助改善暗沉与肤色不均，浓度适中，需与防晒配合以避免光敏反应。
肌肤良方,S004,修护晚霜（屏障修复）,40004,面霜/防晒,La Roche-Posay,产品特性:含神经酰胺与烟酰胺；用户收益:修复皮脂屏障；使用场景:夜间修护；品质保障:低敏配方,丰润但不油腻，适合换季或屏障受损肌肤，夜间使用能提升肤感与舒适度。
肌肤良方,S004,清爽日乳（控油保湿）,40005,面霜/防晒,Olay,产品特性:清爽质地不致痘；用户收益:日间控油保湿；使用场景:日常打底；情绪价值:轻薄妆感,适合混合偏油肌，吸收快不泛油光，可作为妆前打底使用。
肌肤良方,S004,物理防晒 SPF50+ PA++++,40006,面霜/防晒,Anessa,产品特性:高倍防晒+抗水；用户收益:长效防晒户外保护；使用场景:户外/运动；品质保障:抗汗抗水测试,适合户外活动与运动场景，轻薄不黏腻，使用后不易泛白，建议按需补涂。
肌肤良方,S004,抗敏修护面膜（单片）,40007,面霜/防晒,Kiehl's,产品特性:高保湿修护配方；用户收益:即时舒缓泛红；使用场景:急救修护/换季,单片包装便于携带，适合换季或敏感发作时做短期密集修护，使用后皮肤舒缓明显。
肌肤良方,S004,去角质温和啫喱（化学+物理双效）,40008,洁面/精华,Paula's Choice,产品特性:温和 AHA/BHA 低浓度；用户收益:改善肤质光滑；使用场景:每周护理,温和配方减少刺激，建议按说明间隔使用，搭配保湿与防晒更安全。
肌肤良方,S004,眼部紧致精华（淡纹）,40009,洁面/精华,Estée Lauder,产品特性:肽类与保湿复配；用户收益:淡化细纹紧致；使用场景:早晚点涂,质地轻薄不油腻，针对细纹与松弛问题，长期使用效果更明显，适合配合按摩使用。
肌肤良方,S004,面部喷雾（保湿镇静）,40010,面霜/防晒,Avène,产品特性:温泉水镇静配方；用户收益:即时保湿舒缓；使用场景:外出/空调房,喷雾便携，适合缓解干燥与敏感，适合长时间在空调环境或飞行时使用。
匠心刀具,S005,厨师刀（万能 8寸）,50001,厨师刀,Zwilling,产品特性:高碳一体锻造；用户收益:持久锋利；使用场景:切菜切肉通用；品质保障:热处理+保修建议,刀身平衡，手柄符合人体工学，适合家庭与半专业使用，建议手洗并定期磨刀保养。
匠心刀具,S005,三德刀套装（厨房入门 3件）,50002,厨师刀,Kai,产品特性:多型号组合；用户收益:一次满足家庭常用刀具；情绪价值:礼盒包装适合送礼；品质保障:防锈处理,含三德刀、削皮刀与面包刀，覆盖日常切配需求，包装精美适合作为家居礼品。
匠心刀具,S005,日本牛刀（7寸 专业款）,50003,厨师刀,Shun,产品特性:VG-MAX 多层钢；用户收益:极高锋利度与顺滑切割；使用场景:专业厨房/烹饪爱好者；品质保障:手工抛光,面向烹饪爱好者与专业用户，刀刃锋利需注意保养与避免洗碱性强水清洗。
匠心刀具,S005,剥皮小刀（3.5寸）,50004,厨师刀,Victorinox,产品特性:轻巧锋利刀尖；用户收益:精细操作顺手；使用场景:蔬果修整,适合日常蔬果去皮与细工，刀柄防滑设计，价位亲民且耐用。
匠心刀具,S005,磨刀器（粗/细 两档）,50005,厨房配件,Global,产品特性:粗细两档快速修锋；用户收益:家庭快速维持锋利；使用场景:日常保养；品质保障:防滑底座,操作简单安全，适合日常快速修磨刀刃，便于家庭保持刀具性能。
匠心刀具,S005,砧板收纳套装（抗菌）,50006,厨房配件,Joseph Joseph,产品特性:多功能砧板+收纳槽；用户收益:节省台面并分类切割；使用场景:小厨房,包含不同颜色砧板用于分类食材，抗菌材质易清洗，带收纳槽节省空间。
匠心刀具,S005,家用磨刀棒（陶瓷细磨）,50007,厨房配件,Tojiro,产品特性:陶瓷细磨维护刃口；用户收益:延长刀具使用周期；使用场景:日常家用,细磨维护刀锋适合日常保养，操作简便，配套防滑底座更安全。
匠心刀具,S005,刀具磁性挂板（实木）,50008,厨房配件,IKEA,产品特性:强磁实木挂板；用户收益:方便存取刀具并节省台面；情绪价值:厨房陈列美观,实木外观适合现代厨房墙面安装，磁性固定刀具安全便捷，适合讲究收纳的家庭。
匠心刀具,S005,刀套礼盒（送礼优选）,50009,厨房配件,Zwilling,产品特性:精美礼盒包装；用户收益:适合婚礼/乔迁送礼；品质保障:品牌保修,含多把常用刀具与收纳盒，包装精致，适合作为高端家居礼物。
匠心刀具,S005,厨房专用剪刀（多功能）,50010,厨房配件,Kai,产品特性:多用途设计可开瓶/剪骨；用户收益:减少厨房工具切换；使用场景:日常烹饪,多功能设计适合家庭烹饪，易清洗且握感舒适，耐用度高。
全能家电站,SH-A01,格力 云佳 1.5匹 新一级能效 变频冷暖 壁挂式空调,IT-A01-01,大家电-空调,格力,产品特性： 新一级能效，APF值高达5.28，全年省电；56℃净菌自洁技术，出风更健康；用户收益： 快速制冷制热，静音低至18分贝，舒适睡眠不打扰；品质保障： 格力10年整机包修，核心零部件质量可靠；价格促销： 以旧换新补贴至高400元，免费上门安装。,采用高性能变频压缩机，30秒速冷，60秒速热。搭载智能Wi-Fi功能，可通过手机APP远程控制，下班路上提前开启。导风板可拆洗设计，清洁方便。适用于12-20平方米卧室或小客厅，是追求性价比和品质的家庭首选。
全能家电站,SH-A01,格力 云锦II 3匹 新一级能效 变频冷暖 圆柱立柜式空调,IT-A01-02,大家电-空调,格力,产品特性： 大匹数满足客厅需求，广域送风，扫风范围达85°；用户收益： 衡温立体送风，避免直吹，体感更舒适；使用场景： 大户型客厅、餐厅、会议室；口碑证明： 京东平台柜机空调金榜TOP3产品。,创新分布式送风技术，冷风上扬，暖风下沉，实现全屋均匀控温。外观采用简约圆柱形设计，优雅百搭。运行噪音低，不干扰家人观影或交谈。支持电辅热功能，应对极端寒冷天气。
全能家电站,SH-A01,美的 酷省电 1.5匹 新一级能效 变频空调,IT-A01-03,大家电-空调,美的,产品特性： 搭载ECO节能模式，对比旧三级能效，一年可省电约400度；价格促销： 主打高能效性价比，价格亲民；用户收益： 节能省电，长期使用成本更低；品质保障： 6年整机包修。,针对追求节能的用户设计，一键开启“酷省电”模式，在保证制冷/热效果的同时智能降低能耗。30秒速冷，60秒速热。内机导风板采用高密度滤网，可初步过滤灰尘。支持自清洁功能。
全能家电站,SH-A01,海尔 静悦 1.5匹 新一级能效 变频空调,IT-A01-04,大家电-空调,海尔,产品特性： PKC倍速升频技术，15秒即冷；使用场景： 对制冷速度要求高的西晒房间或顶楼；用户收益： 急速满足降温需求，体验感强；品质保障： 海尔优质售后服务网络，响应快。,采用新型变频技术，压缩机升频速度提升3倍，实现急速调温。运行噪音低至17分贝，营造静谧环境。内置56℃高温自清洁功能，蒸发器洁净如新，送风清新。支持海尔智家APP智能操控。
全能家电站,SH-A01,小米 巨省电 1.5匹 新一级能效 变频空调,IT-A01-05,大家电-空调,小米,产品特性： 全屋智能互联核心，支持米家APP与小爱同学语音控制；价格促销： 互联网品牌直供价，性价比突出；用户收益： 无缝接入小米智能家居生态，联动智能场景；情绪价值： 科技感与便捷性拉满。,深度整合小米智能生态，可与其他智能设备联动，如温度过高自动开启。采用直流变频技术，新一级能效。外观设计简约，纯白机身易搭配。安装和售后由专业团队承接，品质有保障。
全能家电站,SH-A01,西门子 嵌入式 12套 家用洗碗机,IT-A01-06,厨房电器-洗碗机,西门子,产品特性： 欧洲原装进口，5D智能洁净系统（水温、水压、水流、时间、温度）；用户收益： 强效除菌，可代替消毒柜，洗净烘干除菌存储一体；使用场景： 解放双手，解决家庭洗碗矛盾，适合2-6口之家。,搭载BLDC变频水泵和变频电机，动力强且静音节能。热交换+冷凝烘干，餐具干爽无水渍。中式碗篮设计，可调节支架，轻松放入炒锅。支持智能洗，自动判断油污程度调整程序。72小时抑菌储存功能。
全能家电站,SH-A01,美的 嵌入式 15套 大容量 洗碗机,IT-A01-07,厨房电器-洗碗机,美的,产品特性： 行业独有“四星消毒”认证，灭菌率达99.99%；价格促销： 同容量段性价比之王；用户收益： 锅碗瓢盆一次性洗净，容量巨大，适合大家庭或聚餐。,采用双驱变频系统，洗涤更稳更静。三层喷臂，720°全覆盖冲刷。热风烘干技术，烘干彻底，可短期充当碗柜。支持App远程操控，可查看洗涤状态。安装灵活，可独立或嵌入式安装。
全能家电站,SH-A01,老板 侧吸变频 21风量 抽油烟机,IT-A01-08,厨房电器-烟灶,老板,产品特性： 挥手智控2.0，手挥感应开关机/调档；用户收益： 免碰触，做饭时手上油污不沾机身；品质保障： 老板核心专利“油立净”涂层，内腔免拆洗。,采用沉吸式设计，近距离拢烟。变频电机，风量高达21m³/min，最大静压达950Pa，公共烟道高峰期排烟无压力。配备1分钟延时关机功能，吸尽余烟。噪音控制优秀，烹饪体验舒适。
全能家电站,SH-A01,方太 嵌入式 4.5kW 燃气灶,IT-A01-09,厨房电器-烟灶,方太,产品特性： 65%超高热效率，一级能效，高效节能；用户收益： 火力均匀稳定，适合中式爆炒与慢炖；使用场景： 对烹饪火力有要求的家庭用户。,全黑钢化玻璃面板，易清洁。采用辟火锅支架，防止汤汁溢出堵塞火孔。底盘自适应设计，开孔尺寸兼容性强。电子脉冲点火，成功率高。标配熄火保护装置，使用安全。
全能家电站,SH-A01,九阳 免手洗 破壁豆浆机,IT-A01-10,厨房电器-料理机,九阳,产品特性： “不用手洗”黑科技，自动清洗+热烘除菌；用户收益： 彻底解放双手，解决清洗难题；价格促销： 早餐神器，提升生活幸福感的小家电。,除了制作豆浆，还能做米糊、果汁、浓汤等。干豆直打，无需浸泡。高速破壁，口感细腻无渣。制作完成后自动进入清洗程序，并进行高温蒸汽除菌。OLED屏显，操作直观简单。
全能家电站,SH-A01,戴森 V12 Detect Slim 无绳吸尘器,IT-A01-11,生活电器-清洁,戴森,产品特性： 激光探测技术，让肉眼难见的微尘显形；用户收益： 清洁效果可视化，清洁更彻底；情绪价值： 高端科技生活方式的象征。,搭载压电式传感器，能实时统计并分类吸入的灰尘大小和数量，在LCD屏上显示。整机过滤系统，锁住99.99%的微尘。配有多种吸头，适用于地板、地毯、床褥、缝隙等全屋清洁。轻量化设计，举高清洁不费力。
全能家电站,SH-A01,石头 P10 Pro 扫拖机器人,IT-A01-12,生活电器-清洁,石头,产品特性： 全胶刷主刷防缠绕，双螺旋拖布自升降；用户收益： 真正解放双手，自动集尘、自动洗拖布、自动烘干；使用场景： 养宠家庭、工作繁忙的上班族。,采用行业领先的ReactiveAI 3.0避障系统，能识别超过80种障碍物。吸力达11000Pa，拖布旋转下压模拟人手擦地。基站集成热水洗布、自动集尘（尘袋容量2.7L）、热风烘干功能，实现高度自动化清洁。
全能家电站,SH-A01,科沃斯 窗宝 W2 擦窗机器人,IT-A01-13,生活电器-清洁,科沃斯,产品特性： 方形设计，边角覆盖率提升30%；用户收益： 解决高空擦窗危险，清洁玻璃、瓷砖、浴室镜面；使用场景： 高层住宅、落地窗、大面玻璃隔断清洁。,采用无边框驱动，四重安全防护（安全绳、断电续吸、防跌落、手机提醒）。自动规划弓字形路径，干湿两擦，不留水痕。机身轻薄，可清洁常见厚度的中空玻璃。APP控制，可指定区域清洁。
书香门第,SH-B02,东野圭吾《白夜行》精装典藏版,IT-B02-01,图书-小说,南海出版公司,产品特性： 东野圭吾无冕之王代表作，精装护封设计，收录作者寄语；用户收益： 沉浸式阅读体验，感受极致的悬疑与人性描写；口碑证明： 豆瓣图书TOP100，百万读者评价9.2分。,完整无删减版，精装采用烫黑漆工艺，质感出众。随书附赠专属书签。故事跨越19年，讲述一段绝望悲凉的爱情和令人发指的罪案，是推理小说迷必读之作。纸张厚实，印刷清晰，收藏价值高。
书香门第,SH-B02,刘慈欣《三体》全集 (1-3册),IT-B02-02,图书-小说,重庆出版社,产品特性： 亚洲首部“雨果奖”获奖作品，中国科幻文学里程碑；情绪价值： 开拓宇宙视野，引发对文明、道德的深层思考；口碑证明： 全球销量破千万，国内外政商界人士推荐。,套装包含《三体》、《三体II：黑暗森林》、《三体III：死神永生》。讲述了地球人类文明与三体文明的信息交流、生死搏杀及两个文明在宇宙中的兴衰历程。想象宏大，逻辑严密，被誉为“中国科幻巅峰”。
书香门第,SH-B02,当年明月《明朝那些事儿》增补版全集,IT-B02-03,图书-历史,北京联合出版公司,产品特性： 白话正说明朝历史，语言幽默风趣，史料扎实；用户收益： 轻松入门历史，像读小说一样读懂明朝三百年兴衰；使用场景： 历史爱好者、学生课外阅读、通勤读物。,全集共9册，从朱元璋出生讲起，到崇祯皇帝自缢明朝灭亡。作者用现代笔法融入个人见解，将复杂的历史人物和事件讲得生动有趣。增补版增加了部分图表和注解，阅读体验更佳。
书香门第,SH-B02,《哈利·波特》英汉对照版全集 (1-7册),IT-B02-04,图书-小说,人民文学出版社,产品特性： 官方授权英汉双语版，左页英文原版，右页中文译文；用户收益： 边学英语边重温经典，提升英文阅读能力；情绪价值： 魔法世界永恒的魅力，送给哈迷最好的礼物。,精美盒装，内文采用轻型纸，轻便护眼。英文部分完整保留J.K.罗琳的原汁原味，中文翻译为经典的马爱农译本。适合各年龄段的哈迷收藏，也是英语学习者极佳的课外读物。
书香门第,SH-B02,《DK博物大百科》,IT-B02-05,图书-科普,科学普及出版社,产品特性： 史密森学会权威认证，收录5000多个物种，高清实拍图片；用户收益： 家庭必备自然百科全书，亲子共读，认识地球生命多样性；使用场景： 儿童科普启蒙、家庭藏书、礼物赠送。,重达7斤的“重量级”百科全书。内容涵盖岩石矿物、微生物、植物、真菌、动物六大类。每一页都是视觉盛宴，图片极具冲击力。采用绿色印刷，安全环保。是培养孩子好奇心和探索欲的绝佳工具书。
书香门第,SH-B02,百乐 P500 中性笔 (黑色 0.5mm) 12支装,IT-B02-06,文具-笔类,百乐,产品特性： 经典考试用笔，顺滑不断墨，大容量墨水；口碑证明： 学生党“国民神笔”，长时间书写不累手；价格促销： 多支装更划算，办公学习常备。,采用三点承托式笔尖，书写稳定，粗细均匀。防水耐光墨水，字迹持久。笔杆轻盈，握感舒适。书写长度约2000米，是普通中性笔的3倍以上。适用于考试、笔记、办公等多种场景。
书香门第,SH-B02,国誉 活页本 (B5 方格 30页/本) 5本套装,IT-B02-07,文具-本册,国誉,产品特性： 柔滑顺滑纸，钢笔书写不透不洇；活页设计，可自由增减、调换内页；用户收益： 笔记整理神器，分类清晰，提高学习效率。,日本原装纸张，书写体验极佳。内页为5mm方格，方便画图、做表格，保持版面整洁。活页圈开合顺畅，轻松翻页。搭配同品牌活页纸，可构建个性化的知识管理系统。适合学生、手账爱好者、考研党。
书香门第,SH-B02,辉柏嘉 48色油性彩色铅笔铁盒装,IT-B02-08,文具-画材,辉柏嘉,产品特性： 德国百年品牌，色彩鲜艳饱满，笔芯不易断；品质保障： 铁盒包装精美，保护铅笔，便于收纳；使用场景： 成人减压涂鸦、儿童美术启蒙、专业绘画打稿。,采用高密度木材笔杆，抗压性强。油性芯心，叠色混色效果佳，附着力强。铁盒内附色卡和削笔刀。无论是用于写实绘画还是创意涂色书，都能提供出色的表现。是入门级彩铅的高性价比选择。
书香门第,SH-B02,3M 隐形胶带 (12mm*10m) 5卷装,IT-B02-09,文具-耗材,3M,产品特性： 可书写、可撕取不留残胶，哑光质感近乎隐形；用户收益： 错题整理、文件修改、手工粘贴，不破坏纸张原貌；口碑证明： 学生错题本必备，办公常备神器。,采用特殊合成纸材料，质地轻薄。可用圆珠笔、铅笔在胶带上直接书写。粘贴后可以轻松撕下，且不会损伤纸张表面。宽度适合多数文本行距，是整理笔记、修改文件、制作手账的绝佳工具。
书香门第,SH-B02,天文 全自动削笔机 (电动),IT-B02-10,文具-工具,天文,产品特性： 自动进笔，削尖即停，省时省力；用户收益： 解决家长削笔烦恼，低年级小学生可安全操作；使用场景： 家庭、教室、画室。,采用防夹手安全设计，仅笔尖进入。双刀头设计，削笔快速且笔尖粗细可调（分尖细/普通两档）。内置大容量碎屑盒，透明视窗可观察清理。使用两节5号电池或USB充电，续航持久。
书香门第,SH-B02,Kindle Paperwhite 5 电子书阅读器,IT-B02-11,数码-电子阅读器,Amazon,产品特性： 6.8英寸300ppi超清墨水屏，支持冷暖色温调节；用户收益： 类纸阅读感，保护视力，单次充电续航数周；情绪价值： 轻便随身图书馆，营造专注阅读氛围。,机身轻薄防水，适合在浴室、海滩等环境使用。存储容量8GB/32GB可选，可存储数千本电子书。内置阅读灯可智能调节亮度。配合亚马逊书城，可便捷获取海量正版书籍资源。是深度阅读爱好者的首选设备。
书香门第,SH-B02,索尼 DPT-RP1 13.3英寸电子纸,IT-B02-12,数码-电子阅读器,索尼,产品特性： 大尺寸柔性墨水屏，接近A4纸张大小，支持手写批注；用户收益： 专业级PDF阅读与批注工具，极大提升无纸化办公/学习效率；使用场景： 律师、学者、科研人员阅读文献、批改文件。,屏幕分辨率达1650 x 2200，显示文档和图表极其清晰。支持Wacom电磁笔技术，书写延迟低，手感真实。可通过Wi-Fi传输文件，支持多种格式。轻薄设计，长时间手持阅读无负担。
健身补给仓,SH-C03,ON 金标乳清蛋白粉 (香草味 5磅),IT-C03-01,运动营养-蛋白粉,Optimum Nutrition,产品特性： 全球销量领先的蛋白粉品牌，24克优质蛋白/勺；口碑证明： 健身爱好者“闭眼入”的标杆产品；用户收益： 训练后快速补充蛋白质，促进肌肉合成与恢复。,采用分离乳清蛋白和浓缩乳清蛋白混合配方，蛋白质纯度高，吸收迅速。每份仅含3克碳水化合物和1.5克脂肪。香草口味自然，易溶解，口感顺滑。通过多项质量安全认证，品质有保障。
健身补给仓,SH-C03,肌肉科技 正氮蛋白粉 (巧克力味 4.4磅),IT-C03-02,运动营养-蛋白粉,肌肉科技,产品特性： “正氮”技术，添加促睾因子，提升合成代谢环境；用户收益： 在补充蛋白的同时，助力突破增肌平台期；价格促销： 热门增肌粉，常有大容量优惠。,特别添加了BCAA支链氨基酸、谷氨酰胺和肌酸，形成全面的增肌矩阵。巧克力味浓郁，可用牛奶或水冲泡。适合在训练后或两餐之间使用，为中高强度训练者提供高效的营养支持。
